femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,19,99019,Lyon (County),23041,,2023-04-28T04:02:02.316Z,7321aad602a42a8c95496cf4959d5cf784d13eec,f79aa34f-1817-4c17-a366-fcfe9fb90b0f
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,11,99011,Eureka (County),23041,,2023-04-28T04:02:02.316Z,f157db66fe2ec9250da4b2c090d1f1fc972a423e,342e7c07-dce5-4ecb-8541-16358132db40
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,5,99005,Douglas (County),23041,,2023-04-28T04:02:02.316Z,0967f07604f60141ed18b34021f0f8c6f8a29dc2,8f190457-19b3-46a8-8287-4b7d807d39cd
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,29,99029,Storey (County),23041,,2023-04-28T04:02:02.316Z,ea681c99c6db9285f276499fd5c97efcdde96ead,b66eeb5d-5312-4ada-82de-7a7297482a9c
DR-4709-FL,4709,FL,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",True,False,True,True,2023-04-12T00:00:00.000Z,2023-04-14T00:00:00.000Z,,12,11,99011,Broward (County),23045,2023-06-27T00:00:00.000Z,2023-04-28T13:41:13.892Z,8e62969d2788952f0e46d92f8a6a7ec4b64eedd0,e5e5f185-8863-40bc-b102-2ee0db351185
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,17,99017,Lincoln (County),23041,,2023-04-28T04:02:02.316Z,4034cf27bee184c7b859aec640c00c40e63dee5a,3f550165-5a17-4a6b-8ffe-8fda9f793478
DR-4708-NV,4708,NV,DR,2023-04-27T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-08T00:00:00.000Z,2023-03-19T00:00:00.000Z,,32,21,99021,Mineral (County),23041,,2023-04-28T04:02:02.316Z,68f4f8e8032c2037d33e8c4135123d46e69aa017,f0cb5f8d-a183-4c99-a7ae-4207550b7a69
DR-4707-CA,4707,CA,DR,2023-04-25T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORMS AND MUDSLIDES,False,False,True,True,2023-02-14T00:00:00.000Z,2023-03-05T00:00:00.000Z,,6,0,34554,Hoopa Valley Indian Reservation,23037,,2023-04-25T21:01:51.720Z,1b468bd1d498d83bdf982d320814763fd78ac9d7,e83bee0b-a68d-4690-8e8e-9e6dfdb01ef1
DR-4706-OK,4706,OK,DR,2023-04-24T00:00:00.000Z,2023,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,True,True,2023-04-19T00:00:00.000Z,2023-04-20T00:00:00.000Z,,40,125,99125,Pottawatomie (County),23044,2023-06-23T00:00:00.000Z,2023-04-24T14:21:25.662Z,8d0c5cda6f5858eab5ca44379b8336ea06283cc4,62262bd4-a0ca-4e4a-a449-24b750f6b107
DR-4706-OK,4706,OK,DR,2023-04-24T00:00:00.000Z,2023,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,True,True,2023-04-19T00:00:00.000Z,2023-04-20T00:00:00.000Z,,40,87,99087,McClain (County),23044,2023-06-23T00:00:00.000Z,2023-04-24T14:21:25.662Z,495072f57a8a8aacb68be529864a918441aed974,48f888ba-2894-4417-8554-fa971a5d1de4
