freq,indic_md,geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A,D2204,DZ,260.5,,,,273.1,,,,,284.2,280.5,297.1,315.1,
A,D2204,EG,274.3,229.6,274.2,274.0,273.3,277.9,,,435.6,,399.8,,,
A,D2204,IL,594.8,604.6,604.8,612.1,613.4,612.2,616.7,617.3,608.9,609.2,612.5,621.7,630.3,643.1
A,D2204,JO,421.5,401.1,372.3,345.7,305.4,318.8,302.3,,345.5,343.2,392.8,,347.8,
A,D2204,MA,,,,,,155.4,,,,,,,,
A,D2204,PS,283.9,287.4,,276.9,218.8,,192.7,,172.3,,207.8,,,
A,D2204,TN,204.9,204.9,203.9,203.9,,,,224.8,,,,,,
A,D2504,DZ,,80.0,,,80.0,,,,,85.0,85.0,80.5,80.5,80.5
A,D2504,LB,,,,,,100.0,,,,,,,,
A,D2504,PS,98.6,90.3,,87.7,88.4,,92.5,,91.5,,94.5,,,
A,D2504,TN,65.2,65.4,65.6,65.8,,,,,,,,,,
A,D2505,DZ,,,,,85.0,,,,,90.0,90.0,87.5,87.5,87.5
A,D2505,EG,,,,,,65.0,,,,,,,,
A,D2505,LB,,,,,,100.0,,,,,,,,
A,D2505,TN,100.0,100.0,100.0,100.0,,,,,,,,,,
A,D2506,DZ,,,,,,,,,,70.0,70.0,67.5,67.5,67.5
A,D2506,EG,,,,,,35.0,,,,,,,,
A,D2506,LB,,,,,,100.0,,,,,,,,
A,D2506,TN,0.0,0.0,0.0,0.0,,,,,,,,,,
